id,configuration,method,horizon,beta1,beta2,lr,seed,loss,jobId,tokens,startTokens,incrementalTokens,recipeIdentity,source,finalWeights,workerWeights,finalState
sync-wsd-h20--0.008--0.9--0.9--s42,sync-wsd-h20--0.008--0.9--0.9,sync,20,0.9,0.9,0.008,42,3.577678713712776,2450844,408027136,0,408027136,fc01b936f4e98df37aff5e4aeab1508053ac81ec703b37e41af6da964b9ae854,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.008-s42/attempt-001,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.008-s42/attempt-001/final.safetensors,[],
sync-wsd-h20--0.008--0.9--0.9--s43,sync-wsd-h20--0.008--0.9--0.9,sync,20,0.9,0.9,0.008,43,3.5845053023134006,2450845,408027136,0,408027136,ed25802775448a9182f4c27018093fc501d9a8eca23b962407143dfd5eda81de,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.008-s43/attempt-001,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.008-s43/attempt-001/final.safetensors,[],
sync-wsd-h20--0.008--0.9--0.9--s44,sync-wsd-h20--0.008--0.9--0.9,sync,20,0.9,0.9,0.008,44,3.5951866755998427,2450846,408027136,0,408027136,9d0cfb812e923b3af62f9d34ba3ba3ed96c81c26343cddd42b3869bc5f889cca,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.008-s44/attempt-001,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.008-s44/attempt-001/final.safetensors,[],
sync-wsd-h20--0.006--0.9--0.9--s42,sync-wsd-h20--0.006--0.9--0.9,sync,20,0.9,0.9,0.006,42,3.5710420365123547,2450847,408027136,0,408027136,b22e5f7bdba2f6a49db4e0e688c9ecf1746f36a7fe25a7ea6fe596776e902e58,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.006-s42/attempt-001,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.006-s42/attempt-001/final.safetensors,[],
sync-wsd-h20--0.006--0.9--0.9--s43,sync-wsd-h20--0.006--0.9--0.9,sync,20,0.9,0.9,0.006,43,3.580096477316119,2450848,408027136,0,408027136,bc8307be1698222ea388d9ac28c301d18f0194ac1f1f13c14d20057bd392d328,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.006-s43/attempt-001,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.006-s43/attempt-001/final.safetensors,[],
sync-wsd-h20--0.006--0.9--0.9--s44,sync-wsd-h20--0.006--0.9--0.9,sync,20,0.9,0.9,0.006,44,3.5732184681253227,2450849,408027136,0,408027136,0904b7b84d0382b171cbc6f3d7b9f6bf50775b2531a830606c24ba4611720f06,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.006-s44/attempt-001,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.006-s44/attempt-001/final.safetensors,[],
sync-wsd-h20--0.004--0.9--0.9--s42,sync-wsd-h20--0.004--0.9--0.9,sync,20,0.9,0.9,0.004,42,3.584592103854237,2450850,408027136,0,408027136,54d6dc8e326ba85d05f0aaae6980ce6c64c251fe6a417dce217ef8375564edd9,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.004-s42/attempt-001,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.004-s42/attempt-001/final.safetensors,[],
sync-wsd-h20--0.004--0.9--0.9--s43,sync-wsd-h20--0.004--0.9--0.9,sync,20,0.9,0.9,0.004,43,3.5795696503595553,2450851,408027136,0,408027136,535472da4b118a09df64401538c9c3bd0d6d6feca8c65148300a2a95ad61f525,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.004-s43/attempt-001,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.004-s43/attempt-001/final.safetensors,[],
sync-wsd-h20--0.004--0.9--0.9--s44,sync-wsd-h20--0.004--0.9--0.9,sync,20,0.9,0.9,0.004,44,3.5820670418408516,2450852,408027136,0,408027136,5aa9ba7ee236df30fa8bec4ddd8c4262025c68c21fe5e626ebad2be6aad5fef7,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.004-s44/attempt-001,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.004-s44/attempt-001/final.safetensors,[],
sync-wsd-h20--0.003--0.9--0.9--s42,sync-wsd-h20--0.003--0.9--0.9,sync,20,0.9,0.9,0.003,42,3.590969326333108,2450853,408027136,0,408027136,800d011d12404717311dbeb5c3a4558cbf0faac0f40e68a3f656ddb1856bc9e5,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.003-s42/attempt-001,/nobackup/proj/disk/naiss2024-23-12/personal/zesen/repo/tiny-llm/runs/sync-wsd-20m-horizon-tuning/experiments/horizon-20/b1-0.9-b2-0.9-lr-0.003-s42/attempt-001/final.safetensors,[],
